movieId;Title;SPARQLTitle;URI;Unknown;Action;Adventure;Animation;Children's;Comedy;Crime;Documentary;Drama;Fantasy;Film-Noir;Horror;Musical;Mystery;Romance;Sci-Fi;Thriller;War;Western
1;Toy Story ;;http://dbpedia.org/resource/Toy_Story;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2;GoldenEye ;;http://dbpedia.org/resource/GoldenEye;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
3;Four Rooms ;;http://dbpedia.org/resource/Four_Rooms;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
4;Get Shorty ;;http://dbpedia.org/resource/Get_Shorty_(film);0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
5;Copycat ;;http://dbpedia.org/resource/Copycat_(film);0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0
6;Shanghai Triad (Yao a yao yao dao waipo qiao) ;;http://dbpedia.org/resource/Shanghai_Triad;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
7;Twelve Monkeys ;;http://dbpedia.org/resource/12_Monkeys;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
8;Babe ;;http://dbpedia.org/resource/Babe_(film);0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
9;Dead Man Walking ;;http://dbpedia.org/resource/Dead_Man_Walking_(film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
10;Richard III ;;http://dbpedia.org/resource/Richard_III_(1995_film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
11;Seven (Se7en) ;;http://dbpedia.org/resource/Seven_(film);0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
12;Usual Suspects, The ;;http://dbpedia.org/resource/The_Usual_Suspects;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
13;Mighty Aphrodite ;;http://dbpedia.org/resource/Mighty_Aphrodite;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
14;Postino, Il ;;http://dbpedia.org/resource/Il_Postino;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
15;Mr. Holland's Opus ;;http://dbpedia.org/resource/Mr._Holland's_Opus;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
16;French Twist (Gazon maudit) ;;http://dbpedia.org/resource/French_Twist_(film);0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
17;From Dusk Till Dawn ;;http://dbpedia.org/resource/From_Dusk_Till_Dawn;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0
18;White Balloon, The ;;http://dbpedia.org/resource/The_White_Balloon;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
19;Antonia's Line ;;http://dbpedia.org/resource/Antonia's_Line;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
20;Angels and Insects ;;http://dbpedia.org/resource/Angels_&_Insects;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
21;Muppet Treasure Island ;;http://dbpedia.org/resource/Muppet_Treasure_Island;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0
22;Braveheart ;;http://dbpedia.org/resource/Braveheart;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
23;Taxi Driver ;;http://dbpedia.org/resource/Taxi_Driver;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
24;Rumble in the Bronx ;;http://dbpedia.org/resource/Rumble_in_the_Bronx;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
25;Birdcage, The ;;http://dbpedia.org/resource/The_Birdcage;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
26;Brothers McMullen, The ;;http://dbpedia.org/resource/The_Brothers_McMullen;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
27;Bad Boys ;;http://dbpedia.org/resource/Bad_Boys_(1995_film);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;Apollo 13 ;;http://dbpedia.org/resource/Apollo_13_(film);0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
29;Batman Forever ;;http://dbpedia.org/resource/Batman_Forever;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
30;Belle de jour ;;http://dbpedia.org/resource/Belle_de_Jour_(film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
31;Crimson Tide ;;http://dbpedia.org/resource/Crimson_Tide_(film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0
32;Crumb ;;http://dbpedia.org/resource/Crumb_(film);0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
33;Desperado ;;http://dbpedia.org/resource/Desperado_(film);0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
34;Doom Generation, The ;;http://dbpedia.org/resource/The_Doom_Generation;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
35;Free Willy 2: The Adventure Home ;;http://dbpedia.org/resource/Free_Willy_2:_The_Adventure_Home;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
36;Mad Love ;;http://dbpedia.org/resource/Mad_Love_(1995_film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
37;Nadja ;;http://dbpedia.org/resource/Nadja_(film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
38;Net, The ;;http://dbpedia.org/resource/The_Net_(1995_film);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
39;Strange Days ;;http://dbpedia.org/resource/Strange_Days_(film);0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
40;To Wong Foo, Thanks for Everything! Julie Newmar ;;http://dbpedia.org/resource/To_Wong_Foo,_Thanks_for_Everything!_Julie_Newmar;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
41;Billy Madison ;;http://dbpedia.org/resource/Billy_Madison;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
42;Clerks ;;http://dbpedia.org/resource/Clerks;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
43;Disclosure ;;http://dbpedia.org/resource/Disclosure_(film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
44;Dolores Claiborne ;;http://dbpedia.org/resource/Dolores_Claiborne_(film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
45;Eat Drink Man Woman ;;http://dbpedia.org/resource/Eat_Drink_Man_Woman;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
46;Exotica ;;http://dbpedia.org/resource/Exotica_(film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
47;Ed Wood ;;http://dbpedia.org/resource/Ed_Wood_(film);0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
48;Hoop Dreams ;;http://dbpedia.org/resource/Hoop_Dreams;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
49;I.Q. ;;http://dbpedia.org/resource/I.Q._(film);0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
50;Star Wars ;;http://dbpedia.org/resource/Star_Wars_Episode_IV:_A_New_Hope;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0
51;Legends of the Fall ;;http://dbpedia.org/resource/Legends_of_the_Fall;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1
52;Madness of King George, The ;;http://dbpedia.org/resource/The_Madness_of_King_George;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
53;Natural Born Killers ;;http://dbpedia.org/resource/Natural_Born_Killers;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
54;Outbreak ;;http://dbpedia.org/resource/Outbreak_(film);0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
55;Professional, The ;;http://dbpedia.org/resource/L%C3%A9on_(film);0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0
56;Pulp Fiction ;;http://dbpedia.org/resource/Pulp_Fiction;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
57;Priest ;;http://dbpedia.org/resource/Priest_(1994_film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
58;Quiz Show ;;http://dbpedia.org/resource/Quiz_Show;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
59;Three Colors: Red ;;http://dbpedia.org/resource/Three_Colors:_Red;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
