movieId;Title;SPARQLTitle;URI;Unknown;Action;Adventure;Animation;Children's;Comedy;Crime;Documentary;Drama;Fantasy;Film-Noir;Horror;Musical;Mystery;Romance;Sci-Fi;Thriller;War;Western
1;Toy Story (1995);Toy Story;http://dbpedia.org/resource/Toy_Story;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2;GoldenEye (1995);GoldenEye;http://dbpedia.org/resource/GoldenEye;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
3;Four Rooms (1995);Four Rooms;http://dbpedia.org/resource/Four_Rooms;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
4;Get Shorty (1995);Get Shorty;http://dbpedia.org/resource/Get_Shorty_(film);0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
5;Copycat (1995);Copycat;http://dbpedia.org/resource/Copycat_(film);0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0
6;Shanghai Triad (Yao a yao yao dao waipo qiao) (1995);Shanghai Triad;http://dbpedia.org/resource/Shanghai_Triad;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
7;Twelve Monkeys (1995);Twelve Monkeys;http://dbpedia.org/resource/12_Monkeys;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
8;Babe (1995);Babe;http://dbpedia.org/resource/Babe_(film);0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
9;Dead Man Walking (1995);Dead Man Walking;http://dbpedia.org/resource/Dead_Man_Walking_(film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
10;Richard III (1995);Richard III;http://dbpedia.org/resource/Richard_III_(1995_film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
11;Seven (Se7en) (1995);Seven;http://dbpedia.org/resource/Seven_(film);0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
12;Usual Suspects, The (1995);The Usual Suspects;http://dbpedia.org/resource/The_Usual_Suspects;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
13;Mighty Aphrodite (1995);Mighty Aphrodite;http://dbpedia.org/resource/Mighty_Aphrodite;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
14;Postino, Il (1994);;http://dbpedia.org/resource/Il_Postino;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
15;Mr. Holland's Opus (1995);Mr. Holland's Opus;http://dbpedia.org/resource/Mr._Holland's_Opus;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
16;French Twist (Gazon maudit) (1995);;http://dbpedia.org/resource/French_Twist_(film);0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
17;From Dusk Till Dawn (1996);From Dusk till Dawn;http://dbpedia.org/resource/From_Dusk_Till_Dawn;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0
18;White Balloon, The (1995);The White Balloon;http://dbpedia.org/resource/The_White_Balloon;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
19;Antonia's Line (1995);Antonia's Line;http://dbpedia.org/resource/Antonia's_Line;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
20;Angels and Insects (1995);Angels & Insects;http://dbpedia.org/resource/Angels_&_Insects;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
21;Muppet Treasure Island (1996);Muppet Treasure Island;http://dbpedia.org/resource/Muppet_Treasure_Island;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0
22;Braveheart (1995);Braveheart;http://dbpedia.org/resource/Braveheart;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
23;Taxi Driver (1976);Taxi Driver;http://dbpedia.org/resource/Taxi_Driver;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
