name;country;gross;director;budget
101;United States;320700000.0; Stephen  Herek;67000000.0
12;United States;2000000.0; Sidney  Lumet;29500000.0
12;United States;2000000.0; Sidney  Lumet;337000.0
187;United States;5700000.0; Kevin  Reynolds  (director);20000000.0
20000;United States;28200000.0; Richard  Fleischer;5000000.0
2001;United Kingdom;146000000.0; Stanley  Kubrick;10500000.0
2001;United Kingdom;146000000.0; Stanley  Kubrick;10500000.0
2001;United Kingdom;146000000.0; Stanley  Kubrick;10500000.0
2001;United States;146000000.0; Stanley  Kubrick;10500000.0
2001;United States;146000000.0; Stanley  Kubrick;10500000.0
2001;United States;146000000.0; Stanley  Kubrick;10500000.0
3;United States;375805.0; Sean  McNamara  (filmmaker);
8;United Kingdom;4000000.0; Tom  Schulman;3000000.0
8;United Kingdom;4000000.0; Tom  Schulman;3000000.0
8;United States;4000000.0; Tom  Schulman;3000000.0
8;United States;4000000.0; Tom  Schulman;3000000.0
8.0;United States;19623396.0; John  G.  Avildsen;7000000.0
A Bronx Tale;United States;17300000.0; Robert  De  Niro;10000000.0
A Chef in Love; Georgia (country);;Nana Jorjadze;
A Christmas Carol;United States;;Edwin L. Marin;
A Close Shave;United Kingdom;;Nick Park;
A Damsel in Distress;United States;1465000.0; George  Stevens;1035000.0
A Farewell to Arms;United States;;Frank Borzage;
A Good Man in Africa;South Africa;2308390.0;Bruce Beresford;20000000.0
A Good Man in Africa;South Africa;2308390.0;Bruce Beresford;20000000.0
A Good Man in Africa;South Africa;2308390.0;Bruce Beresford;20000000.0
A Good Man in Africa;United Kingdom;2308390.0;Bruce Beresford;20000000.0
A Good Man in Africa;United Kingdom;2308390.0;Bruce Beresford;20000000.0
A Good Man in Africa;United Kingdom;2308390.0;Bruce Beresford;20000000.0
A Good Man in Africa;United States;2308390.0;Bruce Beresford;20000000.0
A Good Man in Africa;United States;2308390.0;Bruce Beresford;20000000.0
A Good Man in Africa;United States;2308390.0;Bruce Beresford;20000000.0
A Goofy Movie;United States;37600000.0; Kevin  Lima;18000000.0
A Grand Day Out;United Kingdom;;Nick Park;
A Great Day in Harlem;United States;;Jean Bach;
A Hungarian Fairy Tale;Hungary;;Gyula Gazdag;
A Kid in King Arthur's Court;United Kingdom;13400000.0; Michael  Gottlieb  (director);15000000.0
A Kid in King Arthur's Court;United Kingdom;13400000.0; Michael  Gottlieb  (director);15000000.0
A Kid in King Arthur's Court;United States;13400000.0; Michael  Gottlieb  (director);15000000.0
A Kid in King Arthur's Court;United States;13400000.0; Michael  Gottlieb  (director);15000000.0
A Letter from Death Row;United States;;Bret Michaels;
A Letter from Death Row;United States;;Marvin Baker;
A Life Less Ordinary;United Kingdom;14600000.0; Danny  Boyle;12000000.0
A Little Princess;United States;10000000.0; Alfonso  Cuarón;17000000.0
A Little Princess;United States;10000000.0;Alfonso Cuarón;17000000.0
A Low Down Dirty Shame;United States;29400000.0; Keenen  Ivory  Wayans;
A Man of No Importance;Ireland;934550.0; Suri  Krishnamma;
A Month by the Lake;United Kingdom;2101087.0;John Irvin;
A Month by the Lake;United States;2101087.0;John Irvin;
A Nightmare on Elm Street;United States;57000000.0; Wes  Craven;1100000.0
A Perfect World;United States;135100000.0; Clint  Eastwood;30000000.0
A Price Above Rubies;United Kingdom;1081957.0;Boaz Yakin;
A Price Above Rubies;United States;1081957.0;Boaz Yakin;
A Simple Twist of Fate;United States;3430583.0;Gillies MacKinnon;
A Simple Wish;United States;8345056.0;Michael Ritchie (film director);28000000.0
A Single Girl;France;;Benoît Jacquot;
A Smile Like Yours;United States;3330352.0; Keith  Samples;18000000.0
A Thin Line Between Love and Hate;United States;;Martin Lawrence;
A Thousand Acres;United States;7900000.0;Jocelyn Moorhouse;28000000.0
A Very Brady Sequel;United States;21400000.0; Arlene  Sanford;15000000.0
A Very Natural Thing;United States;;Christopher Larkin;
A Walk in the Clouds;United States;50000000.0; Alfonso  Arau;20000000.0
A Walk in the Sun;United States;1600000.0; Lewis  Milestone;850000.0
A Walk in the Sun;United States;2250000.0; Lewis  Milestone;850000.0
Above the Rim;United States;16192320.0; Jeff  Pollack;6500000.0
Absolute Power;United States;50100000.0; Clint  Eastwood;50000000.0
Ace Ventura: Pet Detective;United States;107200000.0; Tom  Shadyac;15000000.0
Ace Ventura: When Nature Calls;United States;212400000.0; Steve  Oedekerk;30000000.0
Across the Sea of Time;United States;16000000.0; Stephen  Low  (filmmaker);
Addams Family Values;United States;48900000.0; Barry  Sonnenfeld;47000000.0
Addicted to Love;United States;34700000.0; Griffin  Dunne;
Air Bud;Canada;27800000.0; Charles  Martin  Smith;3000000.0
Air Bud;United States;27800000.0; Charles  Martin  Smith;3000000.0
Air Force One;United States;315200000.0; Wolfgang  Petersen;85000000.0
Airheads;United States;5800000.0; Michael  Lehmann;11200000.0
Aladdin;United States;504100000.0;John Musker;28000000.0
Aladdin;United States;504100000.0;John Musker;28000000.0
Aladdin;United States;504100000.0;John Musker;28000000.0
Aladdin;United States;504100000.0;Ron Clements;28000000.0
Aladdin;United States;504100000.0;Ron Clements;28000000.0
Aladdin;United States;504100000.0;Ron Clements;28000000.0
Aladdin III: Aladdin and the King of Thieves;Australia;;Tad Stones;
Aladdin III: Aladdin and the King of Thieves;Japan;;Tad Stones;
Aladdin III: Aladdin and the King of Thieves;United States;;Tad Stones;
Albino Alligator;United States;339379.0; Kevin  Spacey;6000000.0
Alice in Wonderland;United States;3500000.0;Wilfred Jackson;3000000.0
Alice in Wonderland;United States;3500000.0;Wilfred Jackson;3000000.0
Alice in Wonderland;United States;3500000.0;Wilfred Jackson;3000000.0
Alice in Wonderland;United States;3500000.0;Wilfred Jackson;3000000.0
Alice in Wonderland;United States;3500000.0;Wilfred Jackson;3000000.0
Alice in Wonderland;United States;3500000.0;Wilfred Jackson;3000000.0
Alice in Wonderland;United States;3500000.0;Wilfred Jackson;3000000.0
Alice in Wonderland;United States;3500000.0;Wilfred Jackson;3000000.0
Alice in Wonderland;United States;3500000.0;Wilfred Jackson;3000000.0
Alice in Wonderland;United States;3500000.0;Wilfred Jackson;3000000.0
Alice in Wonderland;United States;3500000.0;Wilfred Jackson;3000000.0
Alice in Wonderland;United States;3500000.0;Wilfred Jackson;3000000.0
Alice in Wonderland;United States;3500000.0;Clyde Geronimi;3000000.0
Alice in Wonderland;United States;3500000.0;Clyde Geronimi;3000000.0
Alice in Wonderland;United States;3500000.0;Clyde Geronimi;3000000.0
Alice in Wonderland;United States;3500000.0;Clyde Geronimi;3000000.0
Alice in Wonderland;United States;3500000.0;Clyde Geronimi;3000000.0
Alice in Wonderland;United States;3500000.0;Clyde Geronimi;3000000.0
Alice in Wonderland;United States;3500000.0;Clyde Geronimi;3000000.0
Alice in Wonderland;United States;3500000.0;Clyde Geronimi;3000000.0
Alice in Wonderland;United States;3500000.0;Clyde Geronimi;3000000.0
Alice in Wonderland;United States;3500000.0;Clyde Geronimi;3000000.0
Alice in Wonderland;United States;3500000.0;Clyde Geronimi;3000000.0
Alice in Wonderland;United States;3500000.0;Clyde Geronimi;3000000.0
Alice in Wonderland;United States;3500000.0;Hamilton Luske;3000000.0
Alice in Wonderland;United States;3500000.0;Hamilton Luske;3000000.0
Alice in Wonderland;United States;3500000.0;Hamilton Luske;3000000.0
Alice in Wonderland;United States;3500000.0;Hamilton Luske;3000000.0
Alice in Wonderland;United States;3500000.0;Hamilton Luske;3000000.0
Alice in Wonderland;United States;3500000.0;Hamilton Luske;3000000.0
Alice in Wonderland;United States;3500000.0;Hamilton Luske;3000000.0
Alice in Wonderland;United States;3500000.0;Hamilton Luske;3000000.0
Alice in Wonderland;United States;3500000.0;Hamilton Luske;3000000.0
Alice in Wonderland;United States;3500000.0;Hamilton Luske;3000000.0
Alice in Wonderland;United States;3500000.0;Hamilton Luske;3000000.0
Alice in Wonderland;United States;3500000.0;Hamilton Luske;3000000.0
Alien;United States;106300000.0; Ridley  Scott;11000000.0
Alien;United States;106300000.0; Ridley  Scott;11000000.0
Alien;United States;106300000.0; Ridley  Scott;11000000.0
Alien;United Kingdom;106300000.0; Ridley  Scott;11000000.0
Alien;United Kingdom;106300000.0; Ridley  Scott;11000000.0
Alien;United Kingdom;106300000.0; Ridley  Scott;11000000.0
Alien 3;United States;159800000.0; David  Fincher;50.0
Alien Resurrection;United States;161400000.0; Jean-Pierre  Jeunet;70000000.0
All About Eve;United States;8400000.0; Joseph  L.  Mankiewicz;1400000.0
All Dogs Go to Heaven 2;United States;8600000.0;Larry Leker;
All Dogs Go to Heaven 2;United States;8600000.0;Paul Sabella;
All Over Me;United States;150646.0;Alex Sichel;
All Things Fair;Sweden;;Bo Widerberg;
Alphaville;France;;Jean-Luc Godard;
Amadeus;United States;90000000.0; Miloš  Forman;18000000.0
American Dream;United Kingdom;;Barbara Kopple;
American Dream;United Kingdom;;Cathy Caplan;
American Dream;United Kingdom;;Lawrence Silk;
American Dream;United Kingdom;;Thomas Haneke;
American Dream;United States;;Barbara Kopple;
American Dream;United States;;Cathy Caplan;
American Dream;United States;;Lawrence Silk;
