movieId;Title;SPARQLTitle;URI;Unknown;Action;Adventure;Animation;Children's;Comedy;Crime;Documentary;Drama;Fantasy;Film-Noir;Horror;Musical;Mystery;Romance;Sci-Fi;Thriller;War;Western
1;Toy Story ;Toy Story;http://dbpedia.org/resource/Toy_Story;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2;GoldenEye ;GoldenEye;http://dbpedia.org/resource/GoldenEye;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
3;Four Rooms ;Four Rooms;http://dbpedia.org/resource/Four_Rooms;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
4;Get Shorty ;Get Shorty;http://dbpedia.org/resource/Get_Shorty_(film);0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
5;Copycat ;Copycat;http://dbpedia.org/resource/Copycat_(film);0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0
6;Shanghai Triad (Yao a yao yao dao waipo qiao) ;Shanghai Triad;http://dbpedia.org/resource/Shanghai_Triad;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
7;Twelve Monkeys ;Twelve Monkeys;http://dbpedia.org/resource/12_Monkeys;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
8;Babe ;Babe;http://dbpedia.org/resource/Babe_(film);0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
9;Dead Man Walking ;Dead Man Walking;http://dbpedia.org/resource/Dead_Man_Walking_(film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
10;Richard III ;Richard III;http://dbpedia.org/resource/Richard_III_(1995_film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
11;Seven (Se7en) ;;http://dbpedia.org/resource/Seven_(film);0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
12;Usual Suspects, The ;;http://dbpedia.org/resource/The_Usual_Suspects;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
13;Mighty Aphrodite ;Mighty Aphrodite;http://dbpedia.org/resource/Mighty_Aphrodite;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
14;Postino, Il ;;http://dbpedia.org/resource/Il_Postino;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
15;Mr. Holland's Opus ;Mr. Holland's Opus;http://dbpedia.org/resource/Mr._Holland's_Opus;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
16;French Twist (Gazon maudit) ;;http://dbpedia.org/resource/French_Twist_(film);0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
17;From Dusk Till Dawn ;;http://dbpedia.org/resource/From_Dusk_Till_Dawn;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0
18;White Balloon, The ;;http://dbpedia.org/resource/The_White_Balloon;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
19;Antonia's Line ;Antonia's Line;http://dbpedia.org/resource/Antonia's_Line;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
20;Angels and Insects ;Angels & Insects;http://dbpedia.org/resource/Angels_&_Insects;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
21;Muppet Treasure Island ;Muppet Treasure Island;http://dbpedia.org/resource/Muppet_Treasure_Island;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0
22;Braveheart ;Braveheart;http://dbpedia.org/resource/Braveheart;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
23;Taxi Driver ;Taxi Driver;http://dbpedia.org/resource/Taxi_Driver;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
24;Rumble in the Bronx ;Rumble in the Bronx;http://dbpedia.org/resource/Rumble_in_the_Bronx;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
25;Birdcage, The ;Being There;http://dbpedia.org/resource/The_Birdcage;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
26;Brothers McMullen, The ;The Brothers McMullen;http://dbpedia.org/resource/The_Brothers_McMullen;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
27;Bad Boys ;Bad Boys;http://dbpedia.org/resource/Bad_Boys_(1995_film);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;Apollo 13 ;Apollo 13;http://dbpedia.org/resource/Apollo_13_(film);0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
29;Batman Forever ;Batman Forever;http://dbpedia.org/resource/Batman_Forever;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
30;Belle de jour ;Belle de Jour;http://dbpedia.org/resource/Belle_de_Jour_(film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
31;Crimson Tide ;Crimson Tide;http://dbpedia.org/resource/Crimson_Tide_(film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0
32;Crumb ;Crumb;http://dbpedia.org/resource/Crumb_(film);0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
33;Desperado ;Desperado;http://dbpedia.org/resource/Desperado_(film);0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
34;Doom Generation, The ;The Doom Generation;http://dbpedia.org/resource/The_Doom_Generation;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
35;Free Willy 2: The Adventure Home ;Free Willy 2 ;http://dbpedia.org/resource/Free_Willy_2:_The_Adventure_Home;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
36;Mad Love ;Mad Love;http://dbpedia.org/resource/Mad_Love_(1995_film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
37;Nadja ;Nadja;http://dbpedia.org/resource/Nadja_(film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
38;Net, The ;;http://dbpedia.org/resource/The_Net_(1995_film);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
39;Strange Days ;Strange Days;http://dbpedia.org/resource/Strange_Days_(film);0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
40;To Wong Foo, Thanks for Everything! Julie Newmar ;;http://dbpedia.org/resource/To_Wong_Foo,_Thanks_for_Everything!_Julie_Newmar;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
41;Billy Madison ;Billy Madison;http://dbpedia.org/resource/Billy_Madison;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
42;Clerks ;;http://dbpedia.org/resource/Clerks;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
43;Disclosure ;;http://dbpedia.org/resource/Disclosure_(film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
44;Dolores Claiborne ;Dolores Claiborne;http://dbpedia.org/resource/Dolores_Claiborne_(film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
45;Eat Drink Man Woman ;Eat Drink Man Woman;http://dbpedia.org/resource/Eat_Drink_Man_Woman;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
46;Exotica ;Exotica;http://dbpedia.org/resource/Exotica_(film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
47;Ed Wood ;Ed Wood;http://dbpedia.org/resource/Ed_Wood_(film);0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
48;Hoop Dreams ;Hoop Dreams;http://dbpedia.org/resource/Hoop_Dreams;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
49;I.Q. ;I.Q.;http://dbpedia.org/resource/I.Q._(film);0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
50;Star Wars ;;http://dbpedia.org/resource/Star_Wars_Episode_IV:_A_New_Hope;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0
51;Legends of the Fall ;Legends of the Fall;http://dbpedia.org/resource/Legends_of_the_Fall;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1
52;Madness of King George, The ;The Madness of King George;http://dbpedia.org/resource/The_Madness_of_King_George;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
53;Natural Born Killers ;;http://dbpedia.org/resource/Natural_Born_Killers;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
54;Outbreak ;Outbreak;http://dbpedia.org/resource/Outbreak_(film);0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
55;Professional, The ;;http://dbpedia.org/resource/L%C3%A9on_(film);0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0
56;Pulp Fiction ;Pulp Fiction;http://dbpedia.org/resource/Pulp_Fiction;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
57;Priest ;;http://dbpedia.org/resource/Priest_(1994_film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
58;Quiz Show ;;http://dbpedia.org/resource/Quiz_Show;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
59;Three Colors: Red ;;http://dbpedia.org/resource/Three_Colors:_Red;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
60;Three Colors: Blue ;;http://dbpedia.org/resource/Three_Colors:_Blue;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
61;Three Colors: White ;;http://dbpedia.org/resource/Three_Colors:_White;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
62;Stargate ;Stargate;http://dbpedia.org/resource/Stargate_(film);0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
63;Santa Clause, The ;The Santa Clause;http://dbpedia.org/resource/The_Santa_Clause;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
64;Shawshank Redemption, The ;The Shawshank Redemption;http://dbpedia.org/resource/The_Shawshank_Redemption;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
65;What's Eating Gilbert Grape ;What's Eating Gilbert Grape;http://dbpedia.org/resource/What's_Eating_Gilbert_Grape;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
66;While You Were Sleeping ;;http://dbpedia.org/resource/While_You_Were_Sleeping;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
67;Ace Ventura: Pet Detective ;Ace Ventura: Pet Detective;http://dbpedia.org/resource/Ace_Ventura:_Pet_Detective;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
68;Crow, The ;;http://dbpedia.org/resource/The_Crow_(film);0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
69;Forrest Gump ;Forrest Gump;http://dbpedia.org/resource/Forrest_Gump;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0
70;Four Weddings and a Funeral ;Four Weddings and a Funeral;http://dbpedia.org/resource/Four_Weddings_and_a_Funeral;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
71;Lion King, The ;;http://dbpedia.org/resource/The_Lion_King;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
72;Mask, The ;;http://dbpedia.org/resource/The_Mask_(film);0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
73;Maverick ;Maverick;http://dbpedia.org/resource/Maverick_(film);0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
74;Faster Pussycat! Kill! Kill! ;Faster, Pussycat! Kill! Kill!;http://dbpedia.org/resource/Faster,_Pussycat!_Kill!_Kill!;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
76;Carlito's Way ;Carlito's Way;http://dbpedia.org/resource/Carlito's_Way;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
77;Firm, The ;;http://dbpedia.org/resource/The_Firm_(1993_film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
78;Free Willy ;Free Willy;http://dbpedia.org/resource/Free_Willy;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
79;Fugitive, The ;;http://dbpedia.org/resource/The_Fugitive_(1993_film);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
80;Hot Shots! Part Deux ;Hot Shots! Part Deux;http://dbpedia.org/resource/Hot_Shots!_Part_Deux;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
81;Hudsucker Proxy, The ;The Hudsucker Proxy;http://dbpedia.org/resource/The_Hudsucker_Proxy;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
82;Jurassic Park ;Jurassic Park;http://dbpedia.org/resource/Jurassic_Park_(film);0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
83;Much Ado About Nothing ;Much Ado About Nothing;http://dbpedia.org/resource/Much_Ado_About_Nothing_(1993_film);0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
84;Robert A. Heinlein's The Puppet Masters ;The Puppet Masters;http://dbpedia.org/resource/The_Puppet_Masters_(film);0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
85;Ref, The ;;http://dbpedia.org/resource/The_Ref;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
86;Remains of the Day, The ;;http://dbpedia.org/resource/The_Remains_of_the_Day_(film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
87;Searching for Bobby Fischer ;Searching for Bobby Fischer;http://dbpedia.org/resource/Searching_for_Bobby_Fischer;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
88;Sleepless in Seattle ;Sleepless in Seattle;http://dbpedia.org/resource/Sleepless_in_Seattle;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
89;Blade Runner ;Blade Runner;http://dbpedia.org/resource/Blade_Runner;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
90;So I Married an Axe Murderer ;So I Married an Axe Murderer;http://dbpedia.org/resource/So_I_Married_an_Axe_Murderer;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0
91;Nightmare Before Christmas, The ;The Nightmare Before Christmas;http://dbpedia.org/resource/The_Nightmare_Before_Christmas;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
92;True Romance ;True Romance;http://dbpedia.org/resource/True_Romance;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
93;Welcome to the Dollhouse ;Welcome to the Dollhouse;http://dbpedia.org/resource/Welcome_to_the_Dollhouse;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
94;Home Alone ;Home Alone;http://dbpedia.org/resource/Home_Alone;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
95;Aladdin ;Aladdin;http://dbpedia.org/resource/Aladdin_(1992_Disney_film);0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
96;Terminator 2: Judgment Day ;Terminator 2: Judgment Day;http://dbpedia.org/resource/Terminator_2:_Judgment_Day;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
97;Dances with Wolves ;Dances with Wolves;http://dbpedia.org/resource/Dances_with_Wolves;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
98;Silence of the Lambs, The ;The Silence of the Lambs;http://dbpedia.org/resource/The_Silence_of_the_Lambs_(film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
99;Snow White and the Seven Dwarfs ;Snow White and the Seven Dwarfs;http://dbpedia.org/resource/Snow_White_and_the_Seven_Dwarfs_(1937_film);0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
100;Fargo ;;http://dbpedia.org/resource/Fargo_(film);0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0
101;Heavy Metal ;Heavy Metal;http://dbpedia.org/resource/Heavy_Metal_(film);0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
102;Aristocats, The ;;http://dbpedia.org/resource/The_Aristocats;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103;All Dogs Go to Heaven 2 ;All Dogs Go to Heaven 2;http://dbpedia.org/resource/All_Dogs_Go_to_Heaven_2;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
104;Theodore Rex ;;http://dbpedia.org/resource/Theodore_Rex_(film);0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
105;Sgt. Bilko ;Sgt. Bilko;http://dbpedia.org/resource/Sgt._Bilko;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
106;Diabolique ;Diabolique;http://dbpedia.org/resource/Diabolique_(1996_film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
107;Moll Flanders ;;http://dbpedia.org/resource/Moll_Flanders_(1996_film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
108;Kids in the Hall: Brain Candy ;;http://dbpedia.org/resource/Brain_Candy;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
109;Mystery Science Theater 3000: The Movie ;Mystery Science Theater 3000: The Movie;http://dbpedia.org/resource/Mystery_Science_Theater_3000:_The_Movie;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
110;Operation Dumbo Drop ;;http://dbpedia.org/resource/Operation_Dumbo_Drop;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
111;Truth About Cats & Dogs, The ;The Truth About Cats & Dogs;http://dbpedia.org/resource/The_Truth_About_Cats_&_Dogs;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
112;Flipper ;Flipper;http://dbpedia.org/resource/Flipper_(1996_film);0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113;Horseman on the Roof, The (Hussard sur le toit, Le) ;Homeward Bound: The Incredible Journey;http://dbpedia.org/resource/The_Horseman_on_the_Roof;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
114;Wallace & Gromit: The Best of Aardman Animation ;;http://dbpedia.org/resource/Wallace_&_Gromit:_The_Best_of_Aardman_Animation;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
116;Cold Comfort Farm ;;http://dbpedia.org/resource/Cold_Comfort_Farm_(film);0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
117;Rock, The ;;http://dbpedia.org/resource/The_Rock_(film);0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
118;Twister ;Twister;http://dbpedia.org/resource/Twister_(1996_film);0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
119;Maya Lin: A Strong Clear Vision ;Maya Lin: A Strong Clear Vision;http://dbpedia.org/resource/Maya_Lin:_A_Strong_Clear_Vision;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
120;Striptease ;Striptease;http://dbpedia.org/resource/Striptease_(film);0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
121;Independence Day (ID4) ;;http://dbpedia.org/resource/Independence_Day_(film);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
122;Cable Guy, The ;;http://dbpedia.org/resource/The_Cable_Guy;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
123;Frighteners, The ;The Frighteners;http://dbpedia.org/resource/The_Frighteners;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
124;Lone Star ;Lone Star;http://dbpedia.org/resource/Lone_Star_(1996_film);0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
125;Phenomenon ;The Women;http://dbpedia.org/resource/Phenomenon_(film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
126;Spitfire Grill, The ;The Spitfire Grill;http://dbpedia.org/resource/The_Spitfire_Grill;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
127;Godfather, The ;;http://dbpedia.org/resource/The_Godfather;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
128;Supercop ;;http://dbpedia.org/resource/Police_Story_3:_Super_Cop;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
129;Bound ;;http://dbpedia.org/resource/Bound_(film);0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0
130;Kansas City ;Kansas City;http://dbpedia.org/resource/Kansas_City_(film);0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
131;Breakfast at Tiffany's ;Breakfast at Tiffany's;http://dbpedia.org/resource/Breakfast_at_Tiffany's_(film);0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
