title;rating;country;genre
And Now for Something Completely Different;6.9;United Kingdom of Great Britain and Northern Ireland;Comedy films
On the Town;8;United States of America;Musical films
Der verrückte Professor;6.7;United States of America;Science fiction films
The Nutty Professor;6.7;United States of America;Science fiction films
Flucht aus dem Eis;6.8;Canada;Drama films
Flucht aus dem Eis;6.8;Canada;Drama films
Flucht aus dem Eis;6.8;République française;Drama films
Flucht aus dem Eis;6.8;United Kingdom of Great Britain and Northern Ireland;Drama films
Flucht aus dem Eis;6.8;Australia;Drama films
Map of the Human Heart;6.8;Canada;Drama films
Map of the Human Heart;6.8;Canada;Drama films
Map of the Human Heart;6.8;République française;Drama films
Map of the Human Heart;6.8;United Kingdom of Great Britain and Northern Ireland;Drama films
Map of the Human Heart;6.8;Australia;Drama films
Cleopatra;5.9;United Kingdom of Great Britain and Northern Ireland;Drama films
Cleopatra;5.9;United Kingdom of Great Britain and Northern Ireland;War films
Cleopatra;5.9;United Kingdom of Great Britain and Northern Ireland;Biographical films
Cleopatra;5.9;United Kingdom of Great Britain and Northern Ireland;Epic films
Cleopatra;5.9;United Kingdom of Great Britain and Northern Ireland;Romance films
Cleopatra;5.9;United Kingdom of Great Britain and Northern Ireland;Peplum films
Cleopatra;5.9;United Kingdom of Great Britain and Northern Ireland;Historical films
Laberinto de pasiones;7.6;Reino de España;Drama films
Laberinto de pasiones;7.6;Reino de España;Comedy films
Laberinto de pasiones;7.6;Reino de España;LGBT-related films
Laberinto de pasiones;7.6;Reino de España;Drama films
Laberinto de pasiones;7.6;Reino de España;Comedy films
Laberinto de pasiones;7.6;Reino de España;LGBT-related films
I vitelloni;8.7;République française;Drama films
I vitelloni;8.7;République française;Comedy films
La strada;8.8;Italia;Drama films
La strada;8.8;Repubblica Italiana;Drama films
Il bidone;8.3;Italia;Drama films
Il bidone;8.3;Repubblica Italiana;Drama films
Il bidone;8.3;République française;Drama films
Il bidone;8.3;Italia;Crime films
Il bidone;8.3;Repubblica Italiana;Crime films
Il bidone;8.3;République française;Crime films
Le notti di Cabiria;8.9;Italia;Drama films
Le notti di Cabiria;8.9;Repubblica Italiana;Drama films
